sistema,precio_post,fecha_desde,nombre,categoria,subcategoria,margen_pct
AGUA,,,Agua,Bebidas,Sin Café ,
AGUA GAS,,,Agua Gas,Bebidas,Sin Café ,
ALFAJORES,,,Alfajores,Reposteria,Otros,92.86
ALMOJÁBANA,,,Almojábana,Panaderia,Otros,81.04
AMERICANO,,,Americano,Bebidas,Con Café,
AROMATICA,,,Aromatica Frutos Secos,Bebidas,Sin Café ,
AROMÁTICA DE PANELITA,,,Aromática de Panelita,Bebidas,Sin Café ,
ARROZ CON LECHE,,,Arroz con Leche,Reposteria,Otros,
AVENA,,,Avena,Bebidas,Sin Café ,
BIZCOCHO FINO,,,Bizcocho Fino 10 Porciones,Reposteria,Tortas,
BUÑUELO,,,Buñuelo ,Panadería,Otros,73.2
CAFÉ CON LECHE,,,Café con Leche,Bebidas,Con Café,
CAFÉ FRÍO,,,Café Frío,Bebidas,Con Café,
CAPUCHINO CON LICOR,,,Capuchino con Licor,Bebidas,Con Café,
CAPUCHINO SIN LICOR,,,Capuchino sin Licor,Bebidas,Con Café,
COCA COLA 250 ML,,,Coca Cola 250 Ml,Bebidas,Sin Café ,
COCA COLA ZERO 400 ML,,,Coca Cola Zero 400 Ml,Bebidas,Sin Café ,
COCACOLA 400 ML,,,Cocacola 400 Ml,Bebidas,Sin Café ,
COMBO PAN -C-,,,Desayuno Colmena,Brunch,,
COMBO PAN -CH-,,,Desayuno Capricho,Brunch,,
COMBO PAN -FC-,,,Sandwich Focaccia,Brunch,,
COMBO PAN -H-,,,Croissant del Huerto,Brunch,,
COMBO PAN -K-,,,Hamburguesa,Brunch,,
COMBO PAN -M-,,,Tostadas Mediterraneas,Brunch,,
COMBO PAN -PK-,,,Sandwich Pulled Pork,Brunch,,
COMBO PAN -RB-,,,Sandwich Roast Beef,Brunch,,
CROISANT CHOCOLATE,,,Croisant Chocolate,Panadería,Hojaldres,60.26
CROISANT JAMON-QUESO,,,Croisant Jamon-Queso,Panadería,Hojaldres,63.0
CROISANT QUESO,,,Croisant Queso,Panadería,Hojaldres,65.05
ESPRESSO,4000,,Espresso,Bebidas,Con Café,
ESPRESSO,5500,,Espresso Doble,Bebidas,Con Café,
FROZEN BAILEYS,,,Frozen Baileys,Bebidas,Con Café,
GALLETA INDIVIDUAL,,,Galleta Individual,Reposteria,Otros,
HATSU X400,,,Hatsu X 400,Bebidas,Sin Café ,
MALTEADA,,,Malteada,Bebidas,Sin Café ,
MILHOJA CAJA X 3,,,Milhoja Caja X 3,Reposteria,Otros,
MILHOJA INDIVIDUAL,,,Milhoja Individual,Reposteria,Otros,
MILO,,,Milo,Bebidas,Sin Café ,
MUFFINS X 4 UNIDADES,,,Muffins X 4 Unidades,Reposteria,Otros,
PALITO DE QUESO,,,Palito de Queso,Panadería,Hojaldres,57.89
PALITOS GUAYABA-QUESO,,,Palitos Guayaba-Queso,Panadería,Hojaldres,62.2
PAN,8000,,Pan Seda,Panaderia,Hojaldres,52.34
PAN,8500,,Ranchero- Arequipequeso,Panaderia,Hojaldres,60.0
PAN,12000,,Pan Leche- Concha,Panaderia,Panes,70.0
PAN,14000,,Roscon Guayaba Y Roscon de Arequipe,Panadería,Panes,73.0
PAN,15000,,Roscon Mixto,Panadería,Panes,74.13
PAN,17000,,Pan Mantequilla Y Pan Maiz,Panaderia,Panes,78.0
PAN,18000,,Crema,Panaderia,Pan Crema,71.88
PAN,19000,,Trenza,Panaderia,Panes,64.42
PAN,20000,,Pan de Masa Madre- 3 Quesos- Chocolate,Panaderia,Panes,60.0
