Fecha,Hora,Código venta,Producto,Cantidad,Individual,Total,Nombre Corregido,Categoria Real,Sub Categoria Real,Month,Week Day,Hour,margin_pct
2026-01-02,01:02:18 PM,0VZGOYWG,CAPUCHINO SIN LICOR,1,9000,9000,Capuchino sin Licor,Bebidas,Con Café,Jan,Vie,13,30.043194
2026-01-02,01:26:11 PM,RYA3CBEC,CAFÉ CON LECHE,1,6000,6000,Café con Leche,Bebidas,Con Café,Jan,Vie,13,14.227219
2026-01-02,01:26:18 PM,RYA3CBEC,ALMOJÁBANA,2,5000,10000,Almojábana,Panaderia,Otros,Jan,Vie,13,13.765549
2026-01-02,02:29:23 PM,QBMKSLPN,TINTO,1,4000,4000,Tinto,Bebidas,Con Café,Jan,Vie,14,25.682928
2026-01-02,03:03:37 PM,7ZVP1LBD,PANDEQUESO,1,5000,5000,Pandequeso,Panadería,Otros,Jan,Vie,15,15.053027
2026-01-02,03:03:40 PM,7ZVP1LBD,PAN,1,8000,8000,Pan Seda,Panaderia,Hojaldres,Jan,Vie,15,17.87778
2026-01-02,03:04:21 PM,GVB22AJR,TINTO,1,4000,4000,Tinto,Bebidas,Con Café,Jan,Vie,15,25.682928
2026-01-02,03:09:15 PM,GW9KLVHO,ROLLOS ROJOS,1,18000,18000,Rollos Rojos,Reposteria,Otros,Jan,Vie,15,31.732251
2026-01-02,03:09:48 PM,GW9KLVHO,ALMOJÁBANA,1,5000,5000,Almojábana,Panaderia,Otros,Jan,Vie,15,13.765549
2026-01-02,03:11:03 PM,A9HWSKGL,TINTO,1,4000,4000,Tinto,Bebidas,Con Café,Jan,Vie,15,25.682928
2026-01-02,03:11:12 PM,A9HWSKGL,PAN,1,8000,8000,Pan Seda,Panaderia,Hojaldres,Jan,Vie,15,17.87778
2026-01-02,03:12:19 PM,A9HWSKGL,ALMOJÁBANA,4,5000,20000,Almojábana,Panaderia,Otros,Jan,Vie,15,13.765549
2026-01-02,03:18:48 PM,F1HNNCLY,PAN,1,16000,16000,,,,Jan,Vie,15,25.387684
2026-01-02,03:19:12 PM,F1HNNCLY,PAN,1,7000,7000,PAN,PAN,PAN,Jan,Vie,15,15.209535
2026-01-02,03:32:24 PM,MDBHUPRY,PORCION TORTA CAFÉ/ENVINADA,1,5000,5000,Porcion Torta Café/Envinada,Reposteria,Tortas,Jan,Vie,15,32.837517
2026-01-02,03:33:37 PM,E3MMKPUG,BIZCOCHO FINO,1,70000,70000,Bizcocho Fino 10 Porciones,Reposteria,Tortas,Jan,Vie,15,17.037654
2026-01-02,03:33:47 PM,SI9CJLIV,PORCIÓN TORTA,1,9500,9500,Porción Torta Zanahoria / Chocolate / Bizcocho / Maria Luisa,Reposteria,Tortas,Jan,Vie,15,17.719642
2026-01-02,03:40:04 PM,F5AFSKNR,PAN,1,20000,20000,Pan de Masa Madre- 3 Quesos- Chocolate,Panaderia,Panes,Jan,Vie,15,25.168106
2026-01-02,03:40:07 PM,F5AFSKNR,PAN,1,8000,8000,Pan Seda,Panaderia,Hojaldres,Jan,Vie,15,17.87778
2026-01-02,03:53:58 PM,ADYF01Z9,PORCIÓN TORTA,1,9500,9500,Porción Torta Zanahoria / Chocolate / Bizcocho / Maria Luisa,Reposteria,Tortas,Jan,Vie,15,17.719642
2026-01-02,03:55:05 PM,ADYF01Z9,PORCIÓN TORTA,1,9500,9500,Porción Torta Zanahoria / Chocolate / Bizcocho / Maria Luisa,Reposteria,Tortas,Jan,Vie,15,17.719642
2026-01-02,03:55:31 PM,KSM0OCMI,TINTO,1,4000,4000,Tinto,Bebidas,Con Café,Jan,Vie,15,25.682928
2026-01-02,03:55:51 PM,29CUV0MT,PALITOS GUAYABA-QUESO,2,8000,16000,Palitos Guayaba-Queso,Panadería,Hojaldres,Jan,Vie,15,19.606996
2026-01-02,03:55:54 PM,29CUV0MT,PANDEQUESO,1,5000,5000,Pandequeso,Panadería,Otros,Jan,Vie,15,15.053027
2026-01-02,03:55:58 PM,29CUV0MT,CAFÉ FRÍO,1,9500,9500,Café Frío,Bebidas,Con Café,Jan,Vie,15,21.429088
2026-01-02,03:56:05 PM,29CUV0MT,CAPUCHINO SIN LICOR,2,9000,18000,Capuchino sin Licor,Bebidas,Con Café,Jan,Vie,15,30.043194
2026-01-02,03:58:01 PM,V8NKBFS1,PORCIÓN TORTA,2,9500,19000,Porción Torta Zanahoria / Chocolate / Bizcocho / Maria Luisa,Reposteria,Tortas,Jan,Vie,15,17.719642
2026-01-02,03:58:07 PM,V8NKBFS1,PAN TL,2,6500,13000,PAN TL,PAN TL,PAN TL,Jan,Vie,15,17.807339
2026-01-02,03:58:10 PM,V8NKBFS1,VASO LECHE,1,4000,4000,Vaso Leche,Bebidas,Sin Café ,Jan,Vie,15,25.523533
2026-01-02,03:58:13 PM,V8NKBFS1,TINTO,1,4000,4000,Tinto,Bebidas,Con Café,Jan,Vie,15,25.682928
2026-01-02,04:00:58 PM,ZXINUD8G,PAN,1,12000,12000,Pan Leche- Concha,Panaderia,Panes,Jan,Vie,16,11.059565
2026-01-02,04:01:03 PM,ZXINUD8G,CROISANT JAMON-QUESO,2,7500,15000,Croisant Jamon-Queso,Panadería,Hojaldres,Jan,Vie,16,34.424121
2026-01-02,04:01:07 PM,ZXINUD8G,PAN,1,7000,7000,PAN,PAN,PAN,Jan,Vie,16,15.209535
2026-01-02,04:03:37 PM,YSDBJCMJ,CAPUCHINO SIN LICOR,1,9000,9000,Capuchino sin Licor,Bebidas,Con Café,Jan,Vie,16,30.043194
2026-01-02,04:03:40 PM,YSDBJCMJ,PORCIÓN TORTA,1,9500,9500,Porción Torta Zanahoria / Chocolate / Bizcocho / Maria Luisa,Reposteria,Tortas,Jan,Vie,16,17.719642
2026-01-02,04:04:31 PM,VAZTYYFD,CAFÉ CON LECHE,1,6000,6000,Café con Leche,Bebidas,Con Café,Jan,Vie,16,14.227219
2026-01-02,04:04:36 PM,VAZTYYFD,ROLLOS ROJOS,1,18000,18000,Rollos Rojos,Reposteria,Otros,Jan,Vie,16,31.732251
2026-01-02,04:04:42 PM,VAZTYYFD,PANDEQUESO,1,5000,5000,Pandequeso,Panadería,Otros,Jan,Vie,16,15.053027
2026-01-02,04:09:23 PM,YRUX0PEU,TORTA FRÍA 6 PORCIONES,1,40000,40000,Torta Fría 6 Porciones,Reposteria,Tortas,Jan,Vie,16,27.315906
2026-01-02,04:10:24 PM,Q9AH03LR,MILHOJA INDIVIDUAL,3,8500,25500,Milhoja Individual,Reposteria,Otros,Jan,Vie,16,21.924115
2026-01-02,04:12:52 PM,DTUS5LD4,TORTA FRÍA 12 PORCIONES,1,65000,65000,Torta Fría 12 Porciones,Reposteria,Tortas,Jan,Vie,16,14.565792
2026-01-02,04:14:35 PM,MHAPPS8H,PORCIÓN TORTA,1,9500,9500,Porción Torta Zanahoria / Chocolate / Bizcocho / Maria Luisa,Reposteria,Tortas,Jan,Vie,16,17.719642
2026-01-02,04:14:38 PM,MHAPPS8H,ROLLO DE CANELA,1,6500,6500,Rollo de Canela,Panaderia,Hojaldres,Jan,Vie,16,12.703378
2026-01-02,04:26:00 PM,SHDR6DYG,PAN,1,12000,12000,Pan Leche- Concha,Panaderia,Panes,Jan,Vie,16,11.059565
2026-01-02,04:26:01 PM,SHDR6DYG,PAN,1,12000,12000,Pan Leche- Concha,Panaderia,Panes,Jan,Vie,16,11.059565
2026-01-02,04:26:06 PM,SHDR6DYG,ROLLOS ROJOS,1,18000,18000,Rollos Rojos,Reposteria,Otros,Jan,Vie,16,31.732251
2026-01-02,04:26:10 PM,SHDR6DYG,AGUA,1,3000,3000,Agua,Bebidas,Sin Café ,Jan,Vie,16,31.154564
2026-01-02,04:26:32 PM,SHDR6DYG,TORTA ZANAHORIA 4 PORCIONES,1,38000,38000,Torta Zanahoria 4 Porciones,Reposteria,Tortas,Jan,Vie,16,34.485458
2026-01-02,04:34:43 PM,ILARYWGD,PAN,1,12000,12000,Pan Leche- Concha,Panaderia,Panes,Jan,Vie,16,11.059565
2026-01-02,04:34:49 PM,ILARYWGD,PAN,1,16000,16000,,,,Jan,Vie,16,25.387684
2026-01-02,04:35:47 PM,ASHY6D6D,PAN,1,18000,18000,Crema,Panaderia,Pan Crema,Jan,Vie,16,26.199117
2026-01-02,04:43:50 PM,BJHPQJO2,AMERICANO,1,5000,5000,Americano,Bebidas,Con Café,Jan,Vie,16,11.324414
2026-01-02,04:43:55 PM,BJHPQJO2,PORCIÓN TORTA,1,9500,9500,Porción Torta Zanahoria / Chocolate / Bizcocho / Maria Luisa,Reposteria,Tortas,Jan,Vie,16,17.719642
2026-01-02,04:54:51 PM,FJCVQDY3,TORTA CHOCOLATE 10 PORCIONES,1,68000,68000,Torta Chocolate 10 Porciones,Reposteria,Tortas,Jan,Vie,16,31.334638
2026-01-02,04:58:46 PM,D6FKRENS,PAN TL,1,6500,6500,PAN TL,PAN TL,PAN TL,Jan,Vie,16,17.807339
2026-01-02,04:58:48 PM,D6FKRENS,PAN TL,1,8500,8500,PAN TL,PAN TL,PAN TL,Jan,Vie,16,17.807339
2026-01-02,05:00:41 PM,3SY7UUN9,ROLLO DE CANELA,1,6500,6500,Rollo de Canela,Panaderia,Hojaldres,Jan,Vie,17,12.703378
2026-01-02,05:00:44 PM,3SY7UUN9,AMERICANO,1,5000,5000,Americano,Bebidas,Con Café,Jan,Vie,17,11.324414
2026-01-02,05:03:46 PM,O9MI8KSD,PAN,1,12000,12000,Pan Leche- Concha,Panaderia,Panes,Jan,Vie,17,11.059565
2026-01-02,05:03:55 PM,O9MI8KSD,PAN,1,10000,10000,PAN,PAN,PAN,Jan,Vie,17,15.209535
2026-01-02,05:07:25 PM,0FIGDIAD,TE CHAI,2,8000,16000,Te Chai,Bebidas,Sin Café ,Jan,Vie,17,14.432838
2026-01-02,05:11:24 PM,YFTTEQYG,TINTO,2,4000,8000,Tinto,Bebidas,Con Café,Jan,Vie,17,25.682928
2026-01-02,05:19:18 PM,7NCJBLBF,PAN,1,18000,18000,Crema,Panaderia,Pan Crema,Jan,Vie,17,26.199117
2026-01-02,05:26:08 PM,B7QJXJLO,CAPUCHINO SIN LICOR,1,9000,9000,Capuchino sin Licor,Bebidas,Con Café,Jan,Vie,17,30.043194
2026-01-02,05:26:15 PM,B7QJXJLO,PAN TL,1,6500,6500,PAN TL,PAN TL,PAN TL,Jan,Vie,17,17.807339
2026-01-02,05:29:59 PM,TT3HDCCC,ROLLO DE CANELA,3,6500,19500,Rollo de Canela,Panaderia,Hojaldres,Jan,Vie,17,12.703378
2026-01-02,05:55:29 PM,QSFAOOAV,PAN,1,20000,20000,Pan de Masa Madre- 3 Quesos- Chocolate,Panaderia,Panes,Jan,Vie,17,25.168106
2026-01-02,05:55:33 PM,QSFAOOAV,PAN,1,16000,16000,,,,Jan,Vie,17,25.387684
2026-01-02,05:55:41 PM,QSFAOOAV,ALMOJÁBANA,2,5000,10000,Almojábana,Panaderia,Otros,Jan,Vie,17,13.765549
2026-01-02,06:00:43 PM,JB8FVSYW,TINTO,1,4000,4000,Tinto,Bebidas,Con Café,Jan,Vie,18,25.682928
2026-01-02,06:07:05 PM,FBWYWVB1,TINTO,1,4000,4000,Tinto,Bebidas,Con Café,Jan,Vie,18,25.682928
2026-01-02,06:07:14 PM,FBWYWVB1,GALLETA INDIVIDUAL,2,3000,6000,Galleta Individual,Reposteria,Otros,Jan,Vie,18,37.186383
2026-01-02,06:07:20 PM,FBWYWVB1,AROMATICA,1,5000,5000,Aromatica Frutos Secos,Bebidas,Sin Café ,Jan,Vie,18,30.777692
